"source_id","항목명","값/범위","단위","기간","연결/별도","자료유형","문서명","공시일","평가기준일","URL 또는 파일경로","페이지/주석/셀","추출방식","최종확인일","신뢰도","비고"
"FIL-011","현금및현금성자산","311390.944459","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.42 연결재무상태표; data/raw/orion_dcf.xlsx 과거재무제표!F35","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-012","단기금융상품","986075.622834","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.42 연결재무상태표·금융상품 주석; data/raw/orion_dcf.xlsx 과거재무제표!F36","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-013","유동 당기손익-공정가치측정 금융자산","5000","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.42 연결재무상태표·금융상품 주석; data/raw/orion_dcf.xlsx 과거재무제표!F37","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-014","매출채권","181999.325832","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.42·p.88 매출채권 주석; data/raw/orion_dcf.xlsx 과거재무제표!F39","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-015","재고자산","321414.683283","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.42 연결재무상태표; data/raw/orion_dcf.xlsx 과거재무제표!F40","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-016","기타유동자산","28585.443363","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.42 연결재무상태표; data/raw/orion_dcf.xlsx 과거재무제표!F41","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-017","투자부동산 공정가치","103263","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.79 투자부동산 주석; data/raw/orion_dcf.xlsx 과거재무제표!F46","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-018","관계기업 및 공동기업투자 합계","722593.209088","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART pp.84–86 관계기업 및 공동기업투자 주석; data/raw/orion_dcf.xlsx 과거재무제표!F48","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-019","리가켐바이오 장부금액","655780.042","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART pp.84–86 관계기업 및 공동기업투자 주석; data/raw/orion_dcf.xlsx 과거재무제표!F49","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-020","리가켐바이오 시장가치","1626402.257","백만원","2025-12월 말","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.86 관계기업 및 공동기업투자 주석; data/raw/orion_dcf.xlsx 과거재무제표!F50","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","공시는 2025년 12월 월말 종가 기준으로 기재; 처분세금·유동성할인 미반영 DG-007"
"FIL-021","비유동 기타포괄손익-공정가치측정 금융자산","5020.596359","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.42 연결재무상태표·금융상품 주석; data/raw/orion_dcf.xlsx 과거재무제표!F51","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-022","금융기관차입금","0","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결재무상태표·차입금 주석; data/raw/orion_dcf.xlsx 과거재무제표!F53","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-023","유동리스부채","13695.740434","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결재무상태표·리스 주석; data/raw/orion_dcf.xlsx 과거재무제표!F54","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-024","비유동리스부채","21820.294542","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결재무상태표·리스 주석; data/raw/orion_dcf.xlsx 과거재무제표!F55","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-025","매입채무","145821.145167","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결재무상태표; data/raw/orion_dcf.xlsx 과거재무제표!F56","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-026","기타유동부채","83886.182687","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결재무상태표; data/raw/orion_dcf.xlsx 과거재무제표!F57","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-027","기타유동금융부채","199469.757522","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결재무상태표·금융상품 주석; data/raw/orion_dcf.xlsx 과거재무제표!F58","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-028","비지배지분","103543.703388","백만원","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결재무상태표; data/raw/orion_dcf.xlsx 과거재무제표!F59","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-029","발행주식수","39536132","주","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.90 자본금 주석; data/raw/orion_dcf.xlsx 과거재무제표!F65","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-030","자기주식수","7344","주","2025-12-31","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","사업보고서 p.9·DART p.91 자기주식 주석; data/raw/orion_dcf.xlsx 과거재무제표!F66","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-031","한국 매출액","1096681.582","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.68 지역별 매출액 주석; data/raw/orion_dcf.xlsx 과거재무제표!F71","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","본사 소재국"
"FIL-032","중국 매출액","1316352.022","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.68 지역별 매출액 주석; data/raw/orion_dcf.xlsx 과거재무제표!F72","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-033","기타 국가 매출액","919408.932","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.68 지역별 매출액 주석; data/raw/orion_dcf.xlsx 과거재무제표!F73","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","베트남·러시아·인도 등"
"FIL-034","진천공장 총투자계획","460000","백만원","2025-06~2027-12","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","사업보고서 p.8 투자계획; data/raw/orion_dcf.xlsx 가정!F19:J19","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","공시 총액과 기간만 확인; 연도별 180000/170000 배분은 ASM-013 및 DG-010"
"MKT-001","2025년 12월 평균주가","104330","원/주","2025-12","연결/별도","시장자료","원천자료 미확보","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","과거재무제표!F68; orion_dashboard.py:54; orion_valuation_lab.py:76","Excel 및 Python 하드코딩 확인","2026-08-18","낮음","정확한 거래일·가격정의·원천 미확보; DG-008"
"ASM-001","한국 성장률","4.0%;3.5%;3.0%;3.0%;2.5%","%","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F7:J7","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-011; 국내시장 성숙 및 장기 물가수준 수렴이라는 서술만 존재"
"ASM-002","중국 성장률","4.5%;4.0%;3.5%;3.5%;3.0%","%","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F8:J8","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-011; 채널 확대·정상화라는 서술만 존재"
"ASM-003","기타 국가 성장률","11.0%;9.0%;8.0%;7.0%;6.0%","%","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F9:J9","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-011; 생산능력·유통망 확대라는 서술만 존재"
"ASM-004","매출원가율","63.0%;62.8%;62.6%;62.5%;62.4%","% 매출액","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F13:J13","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-012; 원재료비 부담 완화 가정"
"ASM-005","판매비율","14.6%;14.5%;14.4%;14.4%;14.3%","% 매출액","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F14:J14","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-012; 규모의 경제 가정"
"ASM-006","일반관리비율","5.3%;5.3%;5.2%;5.2%;5.2%","% 매출액","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F15:J15","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-012; 공통비 안정 가정"
"ASM-007","EBIT 기준 현금법인세율","25.5%","% EBIT","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F16:J16","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-012; 국가별 정상화 세율 산출표 미확보"
"ASM-008","D&A 비율","5.0%;5.2%;5.4%;5.3%;5.1%","% 매출액","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F17:J17","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-014; 설비별 감가상각 roll-forward 미확보"
"ASM-009","유지보수 Capex 비율","4.4%;4.5%;4.8%;5.0%;5.1%","% 매출액","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F18:J18","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-014; 자산군별 유지보수 계획 미확보"
"ASM-010","진천공장 성장 Capex 연도별 배분","180000;170000;0;0;0","백만원","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F19:J19","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-010; 공시 총액 460000 중 모델 반영 350000; 연도별 배분 근거와 110000 차이 미확보"
"ASM-011","DSO","20.0;20.0;19.5;19.5;19.0","일","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F22:J22","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-013; 2025 실적에 근접하도록 가정"
"ASM-012","재고자산 회전일수","56;56;55;55;54","일","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F23:J23","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-013; 정상화 근거 미확보"
"ASM-013","DPO","26;26.5;27;27.5;28","일","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F24:J24","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-013; 결제조건 개선 근거 미확보"
"ASM-014","기타 영업유동자산 비율","0.9%","% 매출액","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F25:J25","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-013; 안정화 가정"
"ASM-015","기타 영업유동부채 비율","8.5%","% 매출액","2026–2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!F26:J26","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-013; 안정화 가정"
"ASM-016","무위험수익률","3.10%","%","2025-12-31","해당 없음","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C30","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-002; 원화 장기 무위험수익률 예시값"
"ASM-017","주식위험프리미엄","6.00%","%","2025-12-31","해당 없음","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C31","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-003; 시장·산정기관 미확보"
"ASM-018","레버드 베타","0.90","배","2025-12-31","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C32","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-004; 비교기업·관측기간 미확보"
"ASM-019","가중평균 국가위험프리미엄","1.30%","%","2025-12-31","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C33","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-005; 국가별 가중치·위험프리미엄 미확보"
"ASM-020","세전 타인자본비용","4.50%","%","2025-12-31","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C34","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-006; 실제 차입원가 근거 미확보"
"ASM-021","목표 자기자본 비중","95.0%","%","2025-12-31","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C35","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-006; 목표 자본구조 근거 미확보"
"ASM-022","목표 타인자본 비중","5.0%","%","2025-12-31","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C36","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-006; 목표 자본구조 근거 미확보"
"ASM-023","영구성장률","2.00%","%","2031 이후","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C37","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-015; 장기 명목성장률 서술만 존재"
"ASM-024","종료시점 EV/EBITDA","8.0","배","2030","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C38","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-016; 기준 DCF에는 미사용; 교차검증용"
"ASM-025","필요 영업현금 비율","2.00%","% 매출액","2025","연결","분석가 가정","오리온 DCF 모델 가정대장","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","가정!C39","Excel 하드코딩 전수조사","2026-08-18","낮음","DG-015; 최소 유동성 정책 근거 미확보"
"CALC-001","2025 기초 NWC","102822.367102","백만원","2025-12-31","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","orion_dcf.py:70–77","Excel 수식 및 Python 산식 확인","2026-08-18","높음","매출채권+재고+기타유동자산-매입채무-기타유동부채-기타유동금융부채; 상위 source_id: FIL-014,FIL-015,FIL-016,FIL-025,FIL-026,FIL-027"
"CALC-002","유통주식수","39528788","주","2025-12-31","연결/별도","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","과거재무제표!F67","Excel 수식 및 Python 산식 확인","2026-08-18","높음","발행주식수-자기주식수; 상위 source_id: FIL-029,FIL-030"
"CALC-003","기타 관계기업 및 공동기업투자","66813.167088","백만원","2025-12-31","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","orion_dcf.py:252–255","Excel 수식 및 Python 산식 확인","2026-08-18","높음","관계기업 및 공동기업투자 합계-리가켐바이오 장부금액; 상위 source_id: FIL-018,FIL-019"
"CALC-004","리스부채","35516.034976","백만원","2025-12-31","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","orion_dcf.py:267–270","Excel 수식 및 Python 산식 확인","2026-08-18","높음","유동리스부채+비유동리스부채; 상위 source_id: FIL-023,FIL-024"
"CALC-005","WACC","9.477625%","%","2025-12-31","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","valuation_model.py:1–42","Excel 수식 및 Python 산식 확인","2026-08-18","높음","Ke×E/(D+E)+Kd×(1-T)×D/(D+E); 상위 source_id: ASM-007,ASM-016–ASM-022"
"CALC-006","NOPAT","EBIT×(1-25.5%)","백만원","2026–2030","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","fcff_model.py","Excel 수식 및 Python 산식 확인","2026-08-18","높음","EBIT×(1-현금법인세율); 상위 source_id: ASM-004–ASM-007"
"CALC-007","FCFF","NOPAT+D&A-Capex-NWC 증감","백만원","2026–2030","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","fcff_model.py","Excel 수식 및 Python 산식 확인","2026-08-18","높음","NOPAT+D&A-Capex-NWC 증감; 상위 source_id: ASM-001–ASM-015,CALC-001,CALC-006"
"CALC-008","추정기간 FCFF 현재가치","1719313.788995","백만원","2026–2030","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","valuation_model.py:45–98","Excel 수식 및 Python 산식 확인","2026-08-18","높음","Σ FCFF_t/(1+WACC)^t; 상위 source_id: CALC-005,CALC-007"
"CALC-009","계속기업가치 현재가치","5055457.886817","백만원","2030","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","valuation_model.py:73–88","Excel 수식 및 Python 산식 확인","2026-08-18","높음","FCFF_2030×(1+g)/(WACC-g)/(1+WACC)^5; 상위 source_id: ASM-023,CALC-005,CALC-007"
"CALC-010","기업가치","6774771.675812","백만원","2025-12-31","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","valuation_model.py:90–93","Excel 수식 및 Python 산식 확인","2026-08-18","높음","추정기간 FCFF 현재가치+계속기업가치 현재가치; 상위 source_id: CALC-008,CALC-009"
"CALC-011","순비영업 조정액","2898256.998649","백만원","2025-12-31","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","equity_bridge.py:37–63","Excel 수식 및 Python 산식 확인","2026-08-18","높음","비영업자산 합계-차감항목 합계; 상위 source_id: FIL-001,FIL-011–FIL-013,FIL-017–FIL-024,FIL-028,ASM-025,CALC-003,CALC-004"
"CALC-012","지분가치","9673028.674460","백만원","2025-12-31","연결","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","equity_bridge.py:65–68","Excel 수식 및 Python 산식 확인","2026-08-18","높음","기업가치+순비영업 조정액; 상위 source_id: CALC-010,CALC-011"
"CALC-013","주당 내재가치","244708.455884","원/주","2025-12-31","연결/별도","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","equity_bridge.py:70–73","Excel 수식 및 Python 산식 확인","2026-08-18","높음","지분가치/유통주식수(백만주); 상위 source_id: CALC-002,CALC-012"
"CALC-014","내재 상승여력","134.552340%","%","2025-12-31","연결/별도","계산값","오리온 DCF 모델","해당 없음","2025-12-31","data/raw/orion_dcf.xlsx","equity_bridge.py:78–83","Excel 수식 및 Python 산식 확인","2026-08-18","높음","주당 내재가치/기준주가-1; 상위 source_id: MKT-001,CALC-013"
"CODE-001","명시적 전망 시작연도","2026","연도","2026–2030","해당 없음","계산값","Python 모델","해당 없음","2025-12-31","orion_dcf.py","orion_dcf.py:80","Python 상수 전수조사","2026-08-18","높음","2025 실적 다음 연도부터 5개년 전망"
"CODE-002","연간 일수 convention","365","일","2026–2030","해당 없음","분석가 가정","Python 모델","해당 없음","2025-12-31","cash_flow_model.py","cash_flow_model.py:10,13,22","Python 하드코딩 전수조사","2026-08-18","중간","DSO·재고일수·DPO 계산 convention"
